,Feeding,,,Lying,,,Standing,,,Lying down,,,Standing up,,,Normal walking,,,Active walking,,,,,
3,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.5,-1,-0.2,0.6,0.3,-0.2,-0.2,-0.2,0.8,-1.3,-0.5,1.1,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-1.3,-0.5,0.6,0,0.5,1.2,0.3,-0.2,0.9,0.5,2.7,-0.3,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,0.3,-0.3,-0.7,1.6,-1.1,-1.2,0.2,0.5,0.3,-2.2,-0.4,-1.5,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,1.2,0,-2,-2.4,-1.6,0.3,0.1,-0.6,-0.4,0.1,1.2,2.2,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,1.5,-0.5,0.3,-1,-0.2,-1.4,0.5,-0.7,0.3,-1.4,1.5,1.8,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,-1.6,-1.1,0,-0.6,1.1,-0.2,0.3,-0.4,0.5,-0.9,-1.2,1.7,,,
4,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,-0.1,-0.4,1.9,1.2,-0.4,-1.3,0.8,0.1,0,-1.2,-1.8,-1.4,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,-0.7,0.5,-0.7,0.1,0.2,0.7,-0.4,0.2,0.9,1.5,-1.2,1.1,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,0.8,-0.2,0.8,1.2,-1.8,0.9,-0.2,0.2,-0.3,-0.9,0.6,0.8,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.2,-0.3,1,1.3,-2.1,-2.9,-0.1,0.8,0.5,-0.6,-0.3,0.7,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,0.6,0.5,0.3,-2,-0.9,-1.3,0.1,-0.2,-0.7,1.3,-1,0.1,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.2,0.9,-1,-0.7,-1.3,-0.8,0.3,-0.6,0.6,0.5,1,0.2,,,
5,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-0.5,-1.8,-1.2,1.7,0.7,1,0.7,-0.2,0.8,-1.6,0.1,0.5,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.8,-0.5,-1.5,-0.4,1.6,-0.7,-0.4,0.3,0.4,0.4,0,1.3,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,1,1.5,-0.4,-0.2,2,-0.5,-0.5,1.3,0.2,1.2,-0.2,-2,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-0.7,1,3.2,-2.3,0.9,-1.4,0,0,0,0.7,0.1,-0.2,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-0.5,-1.2,-1.1,1.2,0.5,0.8,-0.2,-0.2,-0.8,-0.1,0.9,1.5,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-2.6,-0.7,-0.6,-1.1,-0.3,0.2,-0.2,0.6,1,-1.3,0.9,0.7,,,
6,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-1.6,-1.9,-0.8,1.3,2.1,0.9,-0.5,0.4,1.1,-0.2,0.6,2,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0,0.1,0.5,0.9,-0.5,-0.8,0.3,0.4,-0.1,0.4,0.3,-2.5,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-0.4,-0.1,-0.4,-0.6,0.5,0.1,0.7,0.3,-0.9,-3.3,-1,-2.6,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.4,0.7,-0.6,-0.4,1.5,1.6,0.6,-0.1,0.1,-0.3,-1.7,-3.7,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-0.8,0.3,-0.1,1.2,-1.4,0.8,-0.7,-0.9,-0.4,1.5,-2,-1.9,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.1,-0.1,0.3,-0.5,-1.6,1.9,-0.1,0.2,-0.2,-1.9,-2.7,-1.6,,,
7,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-1.1,-1.8,0.5,0.4,2.4,-0.3,0.1,0.6,0.7,-2,0,0.9,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,1.5,-0.8,-0.8,0.6,-1.3,0.9,-0.3,0.2,0,0.7,-3.9,0.3,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-1.5,-0.9,0,-1.9,-0.6,0.6,-0.6,-0.7,-0.1,3.6,0.4,-0.6,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.9,0,0.4,1,-1.6,-0.7,-0.9,0.7,-0.9,0.3,0,0,-1.4,0.1,-2.9,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.7,0,0.5,0,-1.1,0.2,0.2,1.3,1.5,1.2,0,0.4,-0.3,-0.7,-0.1,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,2.2,-0.8,2.2,-0.8,-2.9,2.6,0.2,-0.5,-0.6,-0.7,-1.2,-1.6,,,
8,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.2,0.8,1.9,0.1,0.8,-2.4,-0.5,0.7,-0.8,-0.4,-1.4,-1.1,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-1,0.9,1.2,-0.1,-1,1.9,-0.3,-0.1,-0.4,-1.3,0,-0.2,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-1.7,0.5,-0.3,0.8,0.5,0,-0.6,0.5,0.3,-0.8,1,-1.1,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,1.4,-0.4,0,1,0.9,-1.8,-0.2,-0.1,-0.5,-0.8,-2.9,-1.3,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-0.7,0.9,0.1,0.8,-0.3,0.5,0,-0.5,0,-1.9,-2.8,-0.8,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,2.4,-0.4,-0.3,-0.6,0.7,-0.8,0,-0.4,0,1.1,1.6,-1,,,
9,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.7,-2.2,-0.6,0.1,-0.6,-0.8,-0.1,-0.4,0.3,0,0.7,-1.9,,,
,-0.8,0.1,0.2,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.2,0.3,0.4,0.6,-0.3,0,0.4,0.5,-0.2,-0.2,-2.9,2.2,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.8,-0.8,0.9,1.2,1.8,0.2,0.2,0.6,-0.9,0.5,-1.1,1.6,,,
,-0.8,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,-1,-0.7,-0.3,0.4,1,-0.6,0.1,-0.2,-0.1,-2,-1.5,0.2,,,
,-0.8,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,-0.2,0.1,1.1,0,-0.7,0.2,-0.8,0.1,0,2.3,-0.5,-5.2,,,
,-0.8,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,-0.4,1.1,-0.4,0.3,0.1,0,0.5,0.1,0.2,1.9,0.2,2.4,,,
10,-0.8,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-0.3,0,-0.1,0.4,0.3,-0.1,0.2,0.1,-0.2,1.1,-1.2,2.7,,,
,-0.8,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-2.2,-0.7,-0.5,-0.7,0.8,-0.8,0.6,0.2,-0.1,-2.2,0.2,2.7,,,
,-0.8,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,2.9,0.7,0.5,1.2,-1,1.1,-0.3,-0.3,-0.4,-0.8,0,-0.8,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,1.8,1.6,1.8,-2.1,0.6,-1.5,-1,0.3,0.3,-2.6,-1.1,1.5,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,1,-0.2,-2.1,0.5,1.1,1.8,-0.8,0.8,0,-0.9,2.9,1.7,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-1.3,0,-0.5,1,-1.2,1.1,0.5,0.4,0.7,-1.3,-1.2,1.2,,,
11,-0.8,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.6,0.9,1.1,-0.9,0.1,-1.6,0.2,0.1,-0.2,-0.6,1,-0.1,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.1,-0.6,-2,-0.6,0.6,-0.6,-0.1,-0.1,1.3,1.7,-3.6,-0.2,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.2,0.4,0.6,0.5,-0.6,-0.8,-1.4,-0.4,-0.3,0.1,0,-0.7,1,1.2,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,1.3,1,-0.7,-1.2,-0.9,-1.4,-0.2,-0.2,-0.5,-0.6,-0.5,0.3,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-1.3,-0.6,-0.8,-1,-1.3,0.5,0.7,0.1,-0.1,1,-1.2,2.1,,,
,-0.8,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.6,0.7,-0.4,-2.2,-0.2,-0.1,0.2,0,1.1,2.1,2.4,-0.2,,,
12,-0.8,0,0.3,-0.1,0.3,-0.6,-0.3,0.3,0.2,1,0.9,0.8,-0.2,0.7,1.3,0.1,-0.3,0.5,-3,1.1,0.1,,,
,-0.8,0,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,-0.6,1,-2,-0.1,2.3,-0.8,-0.5,-0.1,-0.6,-0.9,2.9,0.9,,,
,-0.8,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,0,0.2,-0.5,-1.2,-0.1,-1.7,0.4,-0.3,-0.1,0.5,1.8,-1,,,
,-0.8,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,-2.1,1.1,-0.7,-0.7,0,1.5,0.4,-0.5,-0.6,0,0.2,-1,,,
,-0.8,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,-1.4,-0.1,-0.2,0.2,-1.1,0.6,0.5,0.7,0.7,2.6,0.1,-0.6,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,1,-0.9,-0.4,-2,-0.7,0.2,-0.4,0.3,0.4,-0.7,-2,-2.2,,,
13,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,-0.5,0.6,-1.9,1.7,1.3,0,0.5,0.4,-0.1,-0.2,1.4,-0.4,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,-1.1,-0.4,-0.7,-0.3,-1,-1.8,-0.1,-0.1,-0.3,-3.4,1,0.4,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,0,0.6,-0.5,0.1,1.2,-0.1,-0.1,-0.6,1.1,0.4,2.1,0,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,0.8,0.7,-1,-0.1,-0.1,1.2,0.3,-0.8,0.5,1,-0.8,-0.7,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,0,0.1,-1.9,-0.5,0.9,1.4,-0.5,0.6,-0.1,0.8,-0.7,3.1,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,0.2,0.1,-1.2,-0.2,-1,0.4,-0.4,0,0.9,1.8,0.7,-0.1,,,
14,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,0.8,0.9,0,0.6,0.9,-0.2,-0.4,0.2,0.9,-0.5,0.7,-3.3,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,-0.3,0.4,0.4,-0.2,-0.5,1.1,-1.1,0,-0.1,-0.2,0.4,-1.3,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,0.3,-0.2,1.1,-0.1,-0.1,0.1,0.3,0.6,-0.5,-2,-1.5,0.3,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,0.1,-0.3,-0.4,-0.3,0.3,0.6,-0.2,0,-0.3,0.7,-1.4,-1.3,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,-0.7,-0.3,1,-0.6,-1.5,-0.5,-0.5,0.1,0.4,1,-0.6,-2.3,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,0.1,-0.8,-1.4,2.2,-1,-0.9,-0.1,-0.1,-0.5,-0.9,-0.7,-2.1,,,
15,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,-0.7,0.4,0.6,0.5,0,0.5,0.4,0,-0.6,-0.3,2.8,0.5,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,-1,-1.2,-0.4,1.2,0.6,0.4,-0.6,0.4,0.3,0.3,0.5,-0.7,,,
,-0.9,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,-0.3,-0.1,0.5,1,-2.3,-0.4,0.2,0.4,0.2,1.2,-3.4,0.5,,,
,-0.9,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,0,0.3,0.9,-0.5,-1.2,0.1,0.6,0.6,-0.7,2.9,1.9,-1.7,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,-0.3,1.1,-0.7,-1.2,0.2,-0.3,-1,0.6,0.9,1,-0.6,-0.9,,,
,-0.9,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.3,0.3,0,0.6,0.4,0.1,-1.3,-0.2,-0.2,0.7,1.9,1.1,1.5,,,
16,-0.9,0.1,0.3,-0.1,0.3,-0.6,-0.9,0,0.3,-0.4,2,-2.7,0.3,0.4,0.2,-0.7,0.5,-0.1,3.1,1,0.2,,,
,-0.9,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.3,0.7,-0.2,-1.1,-2,-1.2,-1.5,0.9,0.1,0.9,2.1,-1,-0.8,,,
,-0.8,0.1,0.2,-0.1,0.3,-0.6,-0.8,0,0.3,0,-1,1,0.3,1.2,0.7,0.5,0.1,-0.1,-1.9,-0.5,1.6,,,
,-0.9,0,0.2,-0.1,0.3,-0.6,-0.9,0,0.3,0.1,-1.2,1.9,-1.2,-0.3,-0.6,0.4,0.4,-0.1,-3.7,-0.2,-1,,,
,-0.9,0,0.2,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-0.8,-0.4,0,0.3,1.3,-0.5,-0.9,1.2,-0.3,-0.5,2.5,4.6,,,
,-0.9,0,0.2,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.9,-0.1,-0.3,1,0.9,1.4,-0.4,-0.4,0.3,-0.2,-2.5,5.2,,,
17,-0.9,0,0.2,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-2,-1.2,-0.3,-0.6,-0.3,0.4,0.2,-0.5,0.4,0.6,-1,-1,,,
,-0.9,0,0.2,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-0.7,0,-0.9,-0.8,-0.8,-0.9,-0.1,-1.1,0,-2.5,-1.1,0.7,,,
,-0.9,0,0.2,-0.1,0.3,-0.6,-0.8,-0.1,0.4,2.7,0.4,0.8,-0.4,-2.5,2.8,0,0.1,-1.1,1.2,1.6,-1.1,,,
,-0.9,0,0.2,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.8,-1.4,0.7,0.5,0,-0.3,0.2,-0.1,0.1,2.7,1.7,0.4,,,
,-0.8,0.2,1.1,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.5,-0.3,0.2,0.7,0.6,-0.2,0.3,0,1.1,1,1.1,0.3,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-0.3,0.5,1.2,-1.9,-0.3,-1.5,-0.7,-0.2,0.4,0.5,-0.3,-0.7,,,
18,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.4,0.6,-2.1,0.9,0.8,0.7,0.1,-0.3,-0.7,-1.7,-3.5,-2.1,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.1,0.4,0.8,0.1,0.5,0.8,-0.7,0.6,-0.4,2.7,-2,0.5,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.4,0.7,0.3,1.1,0.3,-1.9,0.3,0,-0.3,-1.9,-1.4,-2.2,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,-0.1,0.4,-0.5,-0.8,-0.2,1.6,-1.2,-1.4,-0.3,-0.7,0,1.2,0.3,-0.7,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.1,1.4,1.1,-0.8,-0.5,-1.1,-0.1,0.3,-0.1,2.1,-0.6,-0.3,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.7,-0.4,0,1,-1.3,1.1,-0.4,0.9,-0.5,0.5,2,-1.7,,,
19,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.4,0,-0.8,-2.2,-0.1,-0.5,0.1,0.1,0.5,1,-1.4,2.5,0.8,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.4,-1.7,0.9,0,0.3,-0.4,-0.1,-0.1,0.5,-0.2,0.4,-1.1,0.2,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-0.4,1.5,-1,1.5,0,-1,0.6,1.2,0,0.3,-1.1,-1.3,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-0.7,1.2,0.4,-0.5,0.8,0.5,-0.2,-0.3,0,1.3,1,-0.1,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-1.3,-1.9,-1.9,-1.1,-0.1,-1,-0.5,0.4,-1,0.3,-0.3,2.2,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-2.5,-0.8,-1.2,0,0.6,-1.9,-0.4,-0.7,0.1,2.3,0.8,-1.8,,,
20,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-0.3,2,0.8,2,0.2,-0.1,0.6,0.1,0.5,0.7,1.3,1.1,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-1.7,1.5,0.7,-0.1,-1.5,1.3,-0.7,0.1,0.3,-2.2,-2.2,-2,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-0.6,-0.9,0.3,-0.6,0.3,-0.5,0,-0.2,-0.3,-0.3,-1.7,1.1,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,0.2,2,0.7,0.3,-0.2,-0.3,0.1,1.1,-0.3,0.8,0.6,0.2,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.4,0.3,1,-1.4,0.4,0.7,-0.2,0,0,-0.5,-1.5,-0.5,0.2,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.4,0.5,-0.4,-0.1,-0.7,1.1,0.1,-0.4,0.3,0.2,1.6,0.4,0.4,,,
21,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,2.3,-0.1,-0.4,0.6,0.5,2,-0.1,-0.8,0.4,-1.9,0,1.4,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-0.1,2.5,-0.1,0,0.4,0.7,0.4,-0.1,0,0.6,-1.3,-2.9,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-0.1,0,-0.1,0.4,-0.1,1.1,0.4,0,0.1,-1.5,-1.5,-0.7,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-0.7,-0.1,0.3,-0.8,0.3,1.2,-0.2,0.8,0.5,2.5,-0.3,1.3,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.4,1.1,-1.6,-0.5,-0.8,0.9,0.2,0.2,0,-0.6,1.4,0.6,0.1,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.4,-2.3,0.1,0.7,1.9,-0.5,-0.4,-0.1,0.4,0,-2.8,-1.4,0.4,,,
22,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.4,1.9,-0.9,1,-1,0.2,0.2,0.2,-0.3,-0.1,0.6,0.3,-0.2,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-0.3,1.9,0.6,0.7,0.3,-0.2,-0.3,-0.5,0.4,-1,-1.4,1.7,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,0.8,1.4,-1,0.7,0.9,-0.6,0.2,0.1,-0.3,0.2,-1.4,1.1,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.4,-0.1,-0.9,0.7,0.6,0.1,-0.1,0.9,0.2,0.5,-0.2,-1.6,0.6,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.4,-1.4,-0.5,-1.6,0.8,0.9,1.2,-0.3,-0.6,0.2,0.8,-1.5,-0.8,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.4,0.3,0.9,0.1,-0.1,1.1,1.5,0.3,0.2,0.3,-1.8,4.4,0.3,,,
23,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.4,-0.7,0.4,-2.4,0.7,0.1,0.8,0,-0.8,-0.2,1.2,-0.8,0.2,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.9,0,0.3,0.2,0.8,-0.1,-1,0.3,0.2,0.6,0.2,-0.9,0,0.6,1.6,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,0,0.8,1.9,2.1,0.6,-0.3,0.7,-0.7,0.3,-1.8,-0.9,2,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-1.1,-1.3,0.3,-1.3,1.3,1.5,0.2,-0.7,0,-0.1,1.6,1.5,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,2.6,0.2,-1,-0.2,-1,1.1,0.8,-0.1,-0.6,1.7,1.9,0.6,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0.1,0.3,1.4,2.7,-0.4,-0.1,0.9,-0.6,0.4,1,0.2,4.3,-0.8,-1,,,
24,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,0.9,0.3,1.5,1.3,0.7,0.2,0.6,0.3,0.1,-1,0.7,2.1,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.8,0,0.4,0.5,2.2,1.8,0.3,-0.5,1,0.7,-1,0.6,2.4,-2.5,-1.7,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-0.1,-2.1,-0.8,0.5,-0.6,0.5,-0.6,-0.1,-0.6,-1.8,1.8,0.8,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-0.9,-1.2,1.8,0.1,-1,0.8,-0.1,0.2,-0.5,-0.6,-1.9,-2.3,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.3,-0.6,0.2,0.8,-0.1,-0.8,-0.3,-0.4,-0.4,-0.2,1.2,1,2.7,,,
,-0.8,0,0.4,-0.1,0.3,-0.6,-0.9,0,0.3,0.5,1.7,-0.3,-2.2,0.9,1.3,0.7,0.5,0.6,0.9,-1,1.2,,,
25,-0.8,0,0.4,-0.1,0.3,-0.6,-0.9,0.1,0.2,-0.3,-0.8,0,-0.4,-0.7,0.9,-0.4,0.4,0.1,0.9,-2.4,-2.8,,,
